Date,No of Leads,Time Spent on LG (in mins)
9-1-2023,10,180
10-1-2023,15,300
11-1-2023,11,300
12-1-2023,11,300
13-1-2023,13,300
14-1-2023,,
15-1-2023,,
16-1-2023,8,390
17-1-2023,12,420
18-1-2023,15,420
19-1-2023,15,420
20-1-2023,13,480
21-1-2023,,
22-1-2023,,
23-1-2023,,
24-1-2023,9,420
25-1-2023,15,420
26-1-2023,,
27-1-2023,15,420
28-1-2023,,
29-1-2023,,
30-1-2023,8,420
31-1-2023,7,300
1-2-2023,13,420
2-2-2023,10,420
3-2-2023,10,420
4-2-2023,,
5-2-2023,,
6-2-2023,13,480
7-2-2023,7,480
8-2-2023,10,420
9-2-2023,10,420
10-2-2023,9,540
11-2-2023,,
12-2-2023,,
13-2-2023,8,360
14-2-2023,12,420
15-2-2023,11,360
16-2-2023,10,360
17-2-2023,10,300
18-2-2023,,
19-2-2023,,
20-2-2023,9,360
21-2-2023,13,360
22-2-2023,10,420
23-2-2023,,
24-2-2023,15,420
25-2-2023,,
26-2-2023,,
27-2-2023,15,600
28-2-2023,7,180
1-3-2023,8,240
2-3-2023,10,360
3-3-2023,10,420
4-3-2023,,
5-3-2023,,
6-3-2023,12,420
7-3-2023,,
8-3-2023,10,420
9-3-2023,9,420
10-3-2023,7,360
